Number of frames: 4628
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,45.577838898,-41.074935913,83.262611389,31.775602341,-55.529891968,78.911315918,50.024642944,-60.312202454,85.985321045,158.579025269,-229.225891113,-1475.369262695,143.295608521,-216.788040161,-1473.103393555,161.703872681,-209.413055420,-1474.616943359,,,,,,,,,,155.532699585,-219.572998047,-1538.754150391,155.752471924,-203.157150269,-1514.607666016,224.219436646,-187.083068848,-1540.715698242,206.744216919,-172.526473999,-1502.835815430,159.121124268,-141.994430542,-1513.819702148,158.445236206,-161.266571045,-1503.336181641,174.293609619,-180.418731689,-1496.779174805,206.834579468,-207.254486084,-1527.537109375,154.853897095,-204.454147339,-1534.854370117,156.124023438,-184.888442993,-1536.410034180,166.714889526,-195.190963745,-1535.817382813,154.910476685,-183.707031250,-1539.721313477,154.835037231,-184.661773682,-1530.485961914,
2,45.512264252,-41.345657349,82.465217590,31.727352142,-55.830127716,78.157951355,50.006343842,-60.577774048,85.177223206,158.577362061,-229.224060059,-1475.371948242,143.295501709,-216.787567139,-1473.101440430,161.707443237,-209.412872314,-1474.614379883,,,,,,,,,,155.528442383,-219.553436279,-1538.753906250,155.752120972,-203.144683838,-1514.602661133,224.219284058,-187.071899414,-1540.711059570,206.748733521,-172.524124146,-1502.825561523,159.128814697,-141.982650757,-1513.796997070,158.451187134,-161.257766724,-1503.319091797,174.297531128,-180.413909912,-1496.768798828,206.832748413,-207.244903564,-1527.537109375,154.851913452,-204.435638428,-1534.849609375,156.124465942,-184.869644165,-1536.399658203,166.714035034,-195.173721313,-1535.810791016,154.910827637,-183.687103271,-1539.710571289,154.835937500,-184.644546509,-1530.475463867,
3,45.423896790,-41.571632385,81.612083435,31.653392792,-56.079872131,77.315162659,49.950050354,-60.796184540,84.313392639,158.578796387,-229.224945068,-1475.378173828,143.296585083,-216.787750244,-1473.103027344,161.708114624,-209.410873413,-1474.612670898,,,,,,,,,,155.530776978,-219.528106689,-1538.756225586,155.753494263,-203.128723145,-1514.598632813,224.220642090,-187.043670654,-1540.699462891,206.748916626,-172.511154175,-1502.808593750,159.128265381,-141.966903687,-1513.769165039,158.451034546,-161.246109009,-1503.298706055,174.297851563,-180.404296875,-1496.755615234,206.834487915,-207.222335815,-1527.533691406,154.853698730,-204.411849976,-1534.846191406,156.125686646,-184.845214844,-1536.388549805,166.715560913,-195.149185181,-1535.803466797,154.912063599,-183.661422729,-1539.698974609,154.837036133,-184.622451782,-1530.464233398,
4,45.317417145,-41.763866425,80.649162292,31.536354065,-56.278621674,76.410499573,49.849555969,-60.983070374,83.367073059,158.582015991,-229.226638794,-1475.378417969,143.296951294,-216.788787842,-1473.103881836,161.709228516,-209.411148071,-1474.611816406,,,,,,,,,,155.537994385,-219.526824951,-1538.756347656,155.757583618,-203.128265381,-1514.598022461,224.225982666,-187.037994385,-1540.692504883,206.750045776,-172.507873535,-1502.802612305,159.128402710,-141.966247559,-1513.766235352,158.451492310,-161.245864868,-1503.296630859,174.298950195,-180.403274536,-1496.752807617,206.839950562,-207.218200684,-1527.528808594,154.859619141,-204.410751343,-1534.845825195,156.130493164,-184.843994141,-1536.387451172,166.720977783,-195.147308350,-1535.801757813,154.917098999,-183.660156250,-1539.697875977,154.841323853,-184.621505737,-1530.463256836,
5,45.149063110,-41.894622803,79.625411987,31.330528259,-56.389671326,75.427284241,49.648681641,-61.121295929,82.361427307,158.583099365,-229.226394653,-1475.373413086,143.297592163,-216.787841797,-1473.101806641,161.707046509,-209.411544800,-1474.611694336,,,,,,,,,,155.537124634,-219.542785645,-1538.753662109,155.756042480,-203.138107300,-1514.599487305,224.223190308,-187.050460815,-1540.698852539,206.746887207,-172.511779785,-1502.812500000,159.123336792,-141.975692749,-1513.783203125,158.447662354,-161.252700806,-1503.308715820,174.296310425,-180.407531738,-1496.760131836,206.838500977,-207.228347778,-1527.529907227,154.857925415,-204.425765991,-1534.846923828,156.127639771,-184.859313965,-1536.393432617,166.718719482,-195.161880493,-1535.805419922,154.914138794,-183.676406860,-1539.704223633,154.838531494,-184.635421753,-1530.469360352,
6,44.881786346,-41.990062714,78.608375549,31.011951447,-56.435565948,74.425193787,49.322994232,-61.231067657,81.340728760,158.583267212,-229.226181030,-1475.375000000,143.297653198,-216.785659790,-1473.100341797,161.707824707,-209.411026001,-1474.615112305,,,,,,,,,,155.522216797,-219.545730591,-1538.755004883,155.747741699,-203.139602661,-1514.601928711,224.209609985,-187.057281494,-1540.718383789,206.743026733,-172.515365601,-1502.828735352,159.118576050,-141.977325439,-1513.790161133,158.444305420,-161.253677368,-1503.314208984,174.293457031,-180.408981323,-1496.768310547,206.826919556,-207.233428955,-1527.544067383,154.844757080,-204.428436279,-1534.848999023,156.115188599,-184.862152100,-1536.397094727,166.705841064,-195.165237427,-1535.810913086,154.900970459,-183.679367065,-1539.707641602,154.827484131,-184.637817383,-1530.472656250,
7,44.533138275,-42.030067444,77.649360657,30.606906891,-56.419265747,73.457115173,48.901390076,-61.292747498,80.361953735,158.583236694,-229.226379395,-1475.377197266,143.295913696,-216.785949707,-1473.099975586,161.709152222,-209.412963867,-1474.611083984,,,,,,,,,,155.528015137,-219.527084351,-1538.754516602,155.752426147,-203.128311157,-1514.596435547,224.217880249,-187.042892456,-1540.701538086,206.748779297,-172.511230469,-1502.809204102,159.127502441,-141.966522217,-1513.765747070,158.450897217,-161.245986938,-1503.295776367,174.298080444,-180.404388428,-1496.754272461,206.832534790,-207.221801758,-1527.535156250,154.851257324,-204.410934448,-1534.843994141,156.123214722,-184.844253540,-1536.385986328,166.713088989,-195.148284912,-1535.801879883,154.909378052,-183.660385132,-1539.696411133,154.834960938,-184.621643066,-1530.461669922,
8,44.145294189,-41.954887390,76.764541626,30.162206650,-56.290084839,72.579246521,48.443141937,-61.237152100,79.470397949,158.582122803,-229.226150513,-1475.370483398,143.299087524,-216.787841797,-1473.102172852,161.708206177,-209.411865234,-1474.606079102,,,,,,,,,,155.555358887,-219.536636353,-1538.750732422,155.768844604,-203.134323120,-1514.594970703,224.244400024,-187.049285889,-1540.673828125,206.758743286,-172.512969971,-1502.790893555,159.140518188,-141.972244263,-1513.771850586,158.460510254,-161.250213623,-1503.299316406,174.305908203,-180.406875610,-1496.748291016,206.854568481,-207.227142334,-1527.511718750,154.876205444,-204.419952393,-1534.842773438,156.147827148,-184.853439331,-1536.387084961,166.737976074,-195.156845093,-1535.796997070,154.935317993,-183.670104980,-1539.698120117,154.857101440,-184.630020142,-1530.463256836,
9,43.657775879,-41.797439575,75.992126465,29.619813919,-56.074855804,71.787368774,47.888477325,-61.097949982,78.664337158,158.582565308,-229.227081299,-1475.374511719,143.296722412,-216.787994385,-1473.099243164,161.707046509,-209.411987305,-1474.605712891,,,,,,,,,,155.539825439,-219.520950317,-1538.751464844,155.758209229,-203.124649048,-1514.591674805,224.227310181,-187.030731201,-1540.682006836,206.749694824,-172.504470825,-1502.791503906,159.127929688,-141.962661743,-1513.754028320,158.450958252,-161.243255615,-1503.286132813,174.298507690,-180.401000977,-1496.743530273,206.841140747,-207.212478638,-1527.520996094,154.861038208,-204.405258179,-1534.839599609,156.131622314,-184.838317871,-1536.379272461,166.722259521,-195.141510010,-1535.794189453,154.918334961,-183.654205322,-1539.689697266,154.842224121,-184.616424561,-1530.455200195,
10,43.189548492,-41.581745148,75.259719849,29.093524933,-55.802196503,71.053619385,47.366744995,-60.909187317,77.867431641,158.580947876,-229.226837158,-1475.371215820,143.295501709,-216.788284302,-1473.095458984,161.708145142,-209.413650513,-1474.607055664,,,,,,,,,,155.526931763,-219.533981323,-1538.749511719,155.751022339,-203.133041382,-1514.592895508,224.216262817,-187.048828125,-1540.699340820,206.746856689,-172.514068604,-1502.808349609,159.125091553,-141.971130371,-1513.767700195,158.448791504,-161.249664307,-1503.296020508,174.296264648,-180.407226563,-1496.752685547,206.831222534,-207.226852417,-1527.531127930,154.849914551,-204.417495728,-1534.840332031,156.121551514,-184.850936890,-1536.384155273,166.711593628,-195.154739380,-1535.799072266,154.907714844,-183.667388916,-1539.694580078,154.833297729,-184.627807617,-1530.459716797,
