Number of frames: 3831
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.653297186, 0.647447646, 0.392446548, 0.702009678,-0.712140024, 0.006249088, 0.283522844, 0.271418750,-0.919753551,20.816385269,35.966831207,73.331184387, 0.309429169,-0.687916756, 0.723139286, 0.061969098, 0.724082232, 0.689645410,-0.009705497,-0.049755130, 0.038194146,-0.998030901,169.644729614,-121.752769470,-1532.979003906, 0.133060560, 0.894621432, 0.398994684,-0.201136038,-0.316850305, 0.883875728, 0.344048828, 0.315052897,-0.244063452, 0.917155743,75.993904114,125.073600769,47.902854919, 0.094517380,
2, 0.653457105, 0.647427619, 0.392213225, 0.702105582,-0.712050617, 0.005622839, 0.282916069, 0.271700829,-0.919857085,20.839786530,35.971912384,73.300788879, 0.309448808,-0.687875926, 0.723168314, 0.062083229, 0.724105239, 0.689618230,-0.009915405,-0.049984235, 0.038134225,-0.998021722,169.646575928,-121.753097534,-1532.980957031, 0.132163227, 0.894648850, 0.398980379,-0.201042712,-0.316762388, 0.883795738, 0.344335169, 0.315063655,-0.244376272, 0.917068779,76.010643005,125.073463440,47.877571106, 0.093596369,
3, 0.653619349, 0.647149205, 0.392402411, 0.702001333,-0.712156832, 0.005173467, 0.282800078, 0.272085518,-0.919779062,20.840562820,35.959289551,73.318313599, 0.309258372,-0.687863946, 0.723167658, 0.062222838, 0.724114776, 0.689609528,-0.009817534,-0.050009191, 0.038303353,-0.998013973,169.645050049,-121.753578186,-1532.979980469, 0.133329779, 0.894581914, 0.398971170,-0.201358363,-0.316877723, 0.883989334, 0.343731433, 0.315137595,-0.243689954, 0.917225957,76.012962341,125.065620422,47.895030975, 0.093366578,
4, 0.653705060, 0.646887541, 0.392690897, 0.702017009,-0.712145984, 0.004497908, 0.282562882, 0.272735387,-0.919659555,20.840847015,35.958480835,73.312858582, 0.308881432,-0.687917650, 0.723114967, 0.062242415, 0.724061310, 0.689665377,-0.009845085,-0.050045565, 0.038294718,-0.998012483,169.644790649,-121.752815247,-1532.980346680, 0.132595718, 0.894683599, 0.398889899,-0.201067567,-0.316895306, 0.884007454, 0.343668759, 0.314831227,-0.243757412, 0.917313278,76.005790710,125.070632935,47.892845154, 0.094220579,
5, 0.653708518, 0.646493971, 0.393332750, 0.701903403,-0.712260008, 0.004147931, 0.282836825, 0.273370087,-0.919386804,20.835536957,35.963123322,73.314392090, 0.309276044,-0.687936962, 0.723100662, 0.062195085, 0.724041581, 0.689685047,-0.009916398,-0.050065573, 0.038209971,-0.998014688,169.642776489,-121.753372192,-1532.983886719, 0.132886901, 0.894711137, 0.398914635,-0.200895831,-0.316835582, 0.883882344, 0.344045401, 0.314813018,-0.244170293, 0.917209744,76.001602173,125.077224731,47.881393433, 0.093244515,
6, 0.654149950, 0.646092415, 0.393258631, 0.701692283,-0.712472260, 0.003333665, 0.282339752, 0.273765862,-0.919421792,20.832557678,35.954586029,73.330932617, 0.309025794,-0.687958837, 0.723073781, 0.062265076, 0.724023104, 0.689706028,-0.009800172,-0.050030846, 0.038339239,-0.998011470,169.641921997,-121.753334045,-1532.985229492, 0.132231697, 0.894651890, 0.398932606,-0.201123729,-0.316840559, 0.883934021, 0.343908072, 0.314976245,-0.243953854, 0.917211235,75.996154785,125.074142456,47.898921967, 0.093403384,
7, 0.653990865, 0.645500362, 0.394493610, 0.701595068,-0.712570131, 0.002858190, 0.282949328, 0.274905533,-0.918894291,20.811441422,35.958431244,73.326583862, 0.309133202,-0.688013256, 0.723043859, 0.062010959, 0.723991930, 0.689741254,-0.009630364,-0.049734693, 0.038269613,-0.998028994,169.642654419,-121.753921509,-1532.981811523, 0.133260489, 0.894499898, 0.398928821,-0.201806322,-0.316702545, 0.884034395, 0.343777150, 0.315546334,-0.243596047, 0.917110443,75.976776123,125.080619812,47.915695190, 0.092877649,
8, 0.653963029, 0.644915223, 0.395495534, 0.701371193,-0.712791562, 0.002577179, 0.283567935, 0.275703788,-0.918464243,20.850160599,35.962455750,73.304100037, 0.308954090,-0.687926173, 0.723109007, 0.062217169, 0.724049568, 0.689676285,-0.009940953,-0.050098099, 0.038209669,-0.998013079,169.641616821,-121.755226135,-1532.984130859, 0.133274958, 0.894526541, 0.398969144,-0.201608181,-0.316754907, 0.883970916, 0.343892038, 0.315418094,-0.243760169, 0.917110860,76.004562378,125.076995850,47.877426147, 0.092033945,
9, 0.653643012, 0.644327402, 0.396979719, 0.701224148,-0.712936223, 0.002554500, 0.284667194, 0.276702046,-0.917823792,20.837049484,35.963550568,73.295730591, 0.308208287,-0.687921345, 0.723127365, 0.062056266, 0.724066257, 0.689660013,-0.009851902,-0.049921904, 0.038155515,-0.998024046,169.640945435,-121.754844666,-1532.984130859, 0.132397369, 0.894507647, 0.398996472,-0.201638028,-0.316778243, 0.883967280, 0.343879968, 0.315448314,-0.243728712, 0.917108893,75.999504089,125.078300476,47.880680084, 0.092218839,
10, 0.653483629, 0.643844843, 0.398023754, 0.700970471,-0.713184834, 0.002782892, 0.285656273, 0.277184337,-0.917370856,20.829401016,35.953266144,73.308059692, 0.308467448,-0.687911153, 0.723134458, 0.062086754, 0.724085033, 0.689643323,-0.009641951,-0.049790140, 0.038323283,-0.998024166,169.639038086,-121.754379272,-1532.984497070, 0.132870227, 0.894512594, 0.399048954,-0.201512143,-0.316897243, 0.883963168, 0.343780786, 0.315314680,-0.243657589, 0.917173684,75.994132996,125.069877625,47.914268494, 0.092405409,
