Number of frames: 4223
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.718730450, 0.667443633, 0.194796264, 0.675041020,-0.736974120, 0.034477860, 0.166571841, 0.106715187,-0.980237603,-16.473735809, 8.527505875,61.930793762, 0.316524744,-0.662642658, 0.741902649,-0.102397352, 0.725280464, 0.669778109, 0.159265712, 0.186743155, 0.031269457,-0.981911004,176.211807251,-159.384246826,-1527.281738281, 0.150690213,,,,,,,,,,,,,,
2, 0.719060242, 0.667388916, 0.193763688, 0.675029993,-0.737027943, 0.033530731, 0.165187299, 0.106685691,-0.980475008,-16.432577133, 8.541177750,61.908279419, 0.317932606,-0.662720025, 0.741861224,-0.102196343, 0.725333869, 0.669831336, 0.158798128, 0.186260477, 0.031112229,-0.982007623,176.210250854,-159.383102417,-1527.278686523, 0.151144296,,,,,,,,,,,,,,
3, 0.718881249, 0.667777002, 0.193089783, 0.675329447,-0.736747265, 0.033669498, 0.164742082, 0.106194846,-0.980603218,-16.408365250, 8.522226334,61.891574860, 0.317252785,-0.662765801, 0.741879582,-0.101765513, 0.725388825, 0.669799984, 0.158679038, 0.185883269, 0.031347468,-0.982071698,176.209121704,-159.382308960,-1527.277587891, 0.151013076,,,,,,,,,,,,,,
4, 0.718293011, 0.668371499, 0.193221852, 0.675774693,-0.736289561, 0.034730867, 0.165480360, 0.105627500,-0.980540216,-16.425910950, 8.517470360,61.897861481, 0.316793501,-0.662738681, 0.741876543,-0.101963498, 0.725329578, 0.669801772, 0.158941701, 0.186210468, 0.031379674,-0.982008636,176.208343506,-159.383148193,-1527.278320313, 0.151613280,,,,,,,,,,,,,,
5, 0.717727423, 0.669126868, 0.192708448, 0.676454961,-0.735654116, 0.034952305, 0.165154293, 0.105272375,-0.980633378,-16.423700333, 8.509334564,61.872222900, 0.317034274,-0.662766933, 0.741845846,-0.102003485, 0.725270927, 0.669832349, 0.159080833, 0.186338693, 0.031453349,-0.981981993,176.209686279,-159.382354736,-1527.278808594, 0.151482105,,,,,,,,,,,,,,
6, 0.717123210, 0.669623554, 0.193231955, 0.676982045,-0.735157847, 0.035188109, 0.165618777, 0.105580360,-0.980521917,-16.403156281, 8.492187500,61.808464050, 0.315628648,-0.662764966, 0.741886199,-0.101722673, 0.725306988, 0.669776022, 0.159153804, 0.186205417, 0.031701397,-0.981999338,176.209869385,-159.382232666,-1527.282714844, 0.151558295,,,,,,,,,,,,,,
7, 0.717064977, 0.669606924, 0.193505242, 0.677283108,-0.734960318, 0.033479642, 0.164636880, 0.107050762,-0.980527818,-16.378347397, 8.482993126,61.720607758, 0.315594941,-0.662639260, 0.741952717,-0.102055825, 0.725355864, 0.669713676, 0.159193084, 0.186461911, 0.031460796,-0.981958330,176.209960938,-159.383560181,-1527.280151367, 0.150452703,,,,,,,,,,,,,,
8, 0.716959894, 0.669719040, 0.193507090, 0.678291023,-0.734255850, 0.028100511, 0.160903156, 0.111107185,-0.980696380,-16.289381027, 8.403722763,61.478340149, 0.317794442,-0.662700891, 0.741903722,-0.102012232, 0.725314319, 0.669766963, 0.159158602, 0.186404765, 0.031483617,-0.981968462,176.210525513,-159.383712769,-1527.275634766, 0.150710404,,,,,,,,,,,,,,
9, 0.713462174, 0.671246648, 0.200996518, 0.680952847,-0.731833041, 0.026897915, 0.165151045, 0.117678508,-0.979222596,-16.276893616, 8.303095818,61.115024567, 0.315593749,-0.662699521, 0.741889477,-0.102124006, 0.725242972, 0.669777334, 0.159439385, 0.186686754, 0.031595677,-0.981911302,176.209259033,-159.382614136,-1527.280639648, 0.149831697,,,,,,,,,,,,,,
10, 0.712411165, 0.672045588, 0.202051952, 0.682324529,-0.730642200, 0.024395904, 0.164022848, 0.120485090,-0.979070842,-16.235475540, 8.312556267,60.833045959, 0.315601796,-0.662694693, 0.741903603,-0.102052256, 0.725376606, 0.669779003, 0.158822998, 0.186183840, 0.031224841,-0.982018590,176.206832886,-159.382705688,-1527.277954102, 0.150315627,,,,,,,,,,,,,,
11, 0.712641060, 0.672481596, 0.199777707, 0.682315350,-0.730615616, 0.025426345, 0.163059473, 0.118191548,-0.979511321,-16.231433868, 8.284537315,60.768165588, 0.316296041,-0.662778795, 0.741866708,-0.101774529, 0.725307226, 0.669802845, 0.159039572, 0.186155036, 0.031590261,-0.982012451,176.208038330,-159.382537842,-1527.275756836, 0.150583178,,,,,,,,,,,,,,
12, 0.712826729, 0.672720075, 0.198307052, 0.682479322,-0.730483413, 0.024816973, 0.161554903, 0.117650270,-0.979825735,-16.232099533, 8.255004883,60.699974060, 0.318492591,-0.662812412, 0.741817474,-0.101914346, 0.725251973, 0.669861495, 0.159044430, 0.186250433, 0.031503052,-0.981997073,176.207672119,-159.382888794,-1527.280883789, 0.150721610,,,,,,,,,,,,,,
13, 0.712821126, 0.672697186, 0.198405012, 0.682578564,-0.730413258, 0.024145134, 0.161160007, 0.118215844,-0.979822695,-16.232921600, 8.256029129,60.606101990, 0.317215562,-0.662690043, 0.741843402,-0.102520011, 0.725250304, 0.669852912, 0.159088328, 0.186691940, 0.031073583,-0.981926978,176.207733154,-159.382812500,-1527.280639648, 0.149264187,,,,,,,,,,,,,,
