Number of frames: 3884
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iStemMarker_GT x,iStemMarker_GT y,iStemMarker_GT z,iStemMarker_LT x,iStemMarker_LT y,iStemMarker_LT z,iStemMarker_P1 x,iStemMarker_P1 y,iStemMarker_P1 z,iStemMarker_P2 x,iStemMarker_P2 y,iStemMarker_P2 z,iStemMarker_P3 x,iStemMarker_P3 y,iStemMarker_P3 z,iStemMarker_P4 x,iStemMarker_P4 y,iStemMarker_P4 z,iStemMarker_P5 x,iStemMarker_P5 y,iStemMarker_P5 z,iStemMarker_P6 x,iStemMarker_P6 y,iStemMarker_P6 z,iStemMarker_SL x,iStemMarker_SL y,iStemMarker_SL z,iStemMarker_SH x,iStemMarker_SH y,iStemMarker_SH z,iStemMarker_SB x,iStemMarker_SB y,iStemMarker_SB z,iStemMarker_Surf1 x,iStemMarker_Surf1 y,iStemMarker_Surf1 z,iStemMarker_Surf2 x,iStemMarker_Surf2 y,iStemMarker_Surf2 z
1,32.093132019,-46.953975677,71.672950745,13.748346329,-55.608966827,73.964721680,30.721977234,-65.552711487,78.666648865,144.828842163,-253.669998169,-1591.242309570,130.934524536,-239.526199341,-1590.055541992,150.182022095,-234.338485718,-1590.726318359,-130.677261353,295.959930420,-139.561447144,-131.211715698,276.209686279,-136.805923462,-113.521804810,285.301544189,-138.826766968,19.457206726,36.802570343,93.648628235,39.781581879,53.217369080,80.209815979,-18.907981873,98.500579834,94.927780151,-11.492895126,99.157890320,123.960906982,-6.095455170,97.435485840,67.034584045,-20.742130280,62.613780975,94.880737305,-15.254874229,63.621379852,122.335899353,-5.528142452,52.339508057,65.942741394,28.050493240,42.383098602,96.101783752,40.806678772,57.521953583,100.607780457,26.235218048,57.383327484,97.126884460,40.432861328,55.882907867,107.279655457,43.652210236,57.708324432,94.849235535,
2,32.236614227,-46.866668701,71.694183350,13.913062096,-55.565181732,73.969017029,30.904493332,-65.468391418,78.681777954,144.825454712,-253.667938232,-1591.237670898,130.931030273,-239.524047852,-1590.056640625,150.178771973,-234.338638306,-1590.725952148,-130.703506470,295.954833984,-139.541641235,-131.237106323,276.202636719,-136.793838501,-113.547378540,285.295928955,-138.813751221,19.470743179,36.706207275,93.542060852,39.792823792,53.126747131,80.106689453,-18.895322800,98.403007507,94.851684570,-11.475888252,99.048805237,123.883911133,-6.086973667,97.349334717,66.956130981,-20.728845596,62.516223907,94.790489197,-15.237491608,63.512905121,122.245292664,-5.519019604,52.253810883,65.846138000,28.064329147,42.285900116,95.996078491,40.820903778,57.423168182,100.506225586,26.248928070,57.285694122,97.027496338,40.448135376,55.781444550,107.177436829,43.665592194,57.611907959,94.747245789,
3,32.387836456,-46.804122925,71.660148621,14.087718964,-55.561912537,73.879913330,31.099588394,-65.426666260,78.614952087,144.820022583,-253.667510986,-1591.237304688,130.925415039,-239.525573730,-1590.061401367,150.174285889,-234.337692261,-1590.721923828,-130.757492065,296.000701904,-139.404144287,-131.287643433,276.244598389,-136.662811279,-113.601196289,285.340881348,-138.682647705,19.483549118,36.683624268,93.562538147,39.801624298,53.110866547,80.129356384,-18.888410568,98.376159668,94.900611877,-11.463901520,99.012535095,123.931640625,-6.084872723,97.333518982,67.002403259,-20.718387604,62.489208221,94.827232361,-15.222277641,63.476844788,122.281341553,-5.512674332,52.238449097,65.876586914,28.076992035,42.263298035,96.017066956,40.832881927,57.400264740,100.530303955,26.260299683,57.262557983,97.054039001,40.461425781,55.756164551,107.200996399,43.676525116,57.591304779,94.770812988,
4,32.504123688,-46.732555389,71.616493225,14.213780403,-55.546478271,73.781158447,31.247430801,-65.373641968,78.522277832,144.814239502,-253.667953491,-1591.236694336,130.922195435,-239.524902344,-1590.056884766,150.170410156,-234.336990356,-1590.719116211,-130.710678101,296.010131836,-139.424591064,-131.241729736,276.256774902,-136.679550171,-113.557891846,285.350891113,-138.691894531,19.406599045,36.742965698,93.675788879,39.731788635,53.167053223,80.249420166,-18.965291977,98.436256409,94.980636597,-11.555713654,99.078880310,124.015396118,-6.147419930,97.387390137,67.089195251,-20.795665741,62.549312592,94.914100647,-15.313665390,63.542858124,122.370857239,-5.575161457,52.292060852,65.973442078,27.998853683,42.323089600,96.133506775,40.752601624,57.460891724,100.649971008,26.181810379,57.322593689,97.166213989,40.377700806,55.818237305,107.320808411,43.599201202,57.650627136,94.892021179,
5,32.570697784,-46.687885284,71.544487000,14.297262192,-55.541767120,73.681846619,31.347482681,-65.345062256,78.413352966,144.814132690,-253.665237427,-1591.240844727,130.920776367,-239.523361206,-1590.054565430,150.168792725,-234.336883545,-1590.720336914,-130.671310425,296.002197266,-139.470306396,-131.203567505,276.249755859,-136.726989746,-113.516784668,285.343963623,-138.736175537,19.411186218,36.717197418,93.631820679,39.738414764,53.142219543,80.209693909,-18.960620880,98.410552979,94.935867310,-11.555266380,99.050895691,123.971755981,-6.138685703,97.363761902,67.046218872,-20.791143417,62.523624420,94.866241455,-15.313130379,63.515029907,122.323837280,-5.566472054,52.268531799,65.927177429,28.003103256,42.297092438,96.091293335,40.756267548,57.434463501,100.610740662,26.185972214,57.296516418,97.124908447,40.380390167,55.791313171,107.281425476,43.603710175,57.624641418,94.853157043,
6,32.652854919,-46.691963196,71.397575378,14.390303612,-55.559295654,73.578010559,31.452325821,-65.360031128,78.263282776,144.815490723,-253.665924072,-1591.235473633,130.920959473,-239.524169922,-1590.059204102,150.169616699,-234.337219238,-1590.716552734,-130.751998901,296.028076172,-139.343627930,-131.283386230,276.270904541,-136.605346680,-113.595687866,285.368316650,-138.625350952,19.501976013,36.669609070,93.568428040,39.819332123,53.098602295,80.136184692,-18.868518829,98.362777710,94.919677734,-11.441640854,98.994239807,123.950279236,-6.067268848,97.324401855,67.020240784,-20.699287415,62.475875854,94.840599060,-15.200934410,63.458892822,122.294425964,-5.496140480,52.229515076,65.886962891,28.095733643,42.248706818,96.023239136,40.852336884,57.384643555,100.537742615,26.279472351,57.247829437,97.062622070,40.481391907,55.739467621,107.208267212,43.695514679,57.576560974,94.778182983,
7,32.660297394,-46.692890167,71.305465698,14.404806137,-55.557674408,73.505523682,31.476346970,-65.359588623,78.156784058,144.818878174,-253.668151855,-1591.238037109,130.924514771,-239.523925781,-1590.055908203,150.172683716,-234.336120605,-1590.718017578,-130.712127686,296.011230469,-139.417205811,-131.243316650,276.256896973,-136.677307129,-113.556686401,285.353363037,-138.692550659,19.479280472,36.685096741,93.569534302,39.800186157,53.113418579,80.141807556,-18.894012451,98.376922607,94.902099609,-11.476160049,99.011840820,123.934867859,-6.084059238,97.336021423,67.006774902,-20.723363876,62.489948273,94.826354980,-15.233571053,63.476154327,122.281753540,-5.510829449,52.241016388,65.878585815,28.072078705,42.264785767,96.026321411,40.826679230,57.401702881,100.543273926,26.254907608,57.263961792,97.063583374,40.453735352,55.757244110,107.213745117,43.671634674,57.593109131,94.784523010,
8,32.697925568,-46.689647675,71.228134155,14.443898201,-55.570484161,73.440780640,31.529224396,-65.364784241,78.063972473,144.822235107,-253.667388916,-1591.238525391,130.929473877,-239.523147583,-1590.054199219,150.177032471,-234.334960938,-1590.714111328,-130.694503784,296.040435791,-139.372909546,-131.224700928,276.286468506,-136.640625000,-113.536521912,285.381591797,-138.649383545,19.458978653,36.628444672,93.543121338,39.782157898,53.061630249,80.124855042,-18.914304733,98.319915771,94.892066956,-11.501251221,98.944137573,123.926345825,-6.099765778,97.289207458,66.998558044,-20.743785858,62.432971954,94.802902222,-15.258498192,63.409088135,122.259536743,-5.526505470,52.194629669,65.853904724,28.051389694,42.207199097,96.003509521,40.805297852,57.342422485,100.528038025,26.234090805,57.206001282,97.045944214,40.431247711,55.695507050,107.197906494,43.651222229,57.535926819,94.769790649,
9,32.728408813,-46.683933258,71.175445557,14.482007980,-55.555866241,73.453117371,31.577228546,-65.349517822,78.032012939,144.825515747,-253.666152954,-1591.237304688,130.931289673,-239.524978638,-1590.055908203,150.180541992,-234.336135864,-1590.715454102,-130.725997925,296.025817871,-139.368637085,-131.256881714,276.276062012,-136.637451172,-113.569122314,285.368499756,-138.650970459,19.481874466,36.598911285,93.492721558,39.801959991,53.031360626,80.068962097,-18.887332916,98.292633057,94.855499268,-11.465476990,98.915374756,123.887489319,-6.081263065,97.262138367,66.957969666,-20.718975067,62.405792236,94.765525818,-15.225368500,63.380611420,122.220611572,-5.511043549,52.167556763,65.811531067,28.075347900,42.177066803,95.950637817,40.831520081,57.311367035,100.471977234,26.259262085,57.175937653,96.994277954,40.459384918,55.664234161,107.141921997,43.675712585,57.504905701,94.712882996,
10,32.723648071,-46.677387238,71.144119263,14.482474327,-55.534294128,73.498809814,31.591897964,-65.331085205,78.028953552,144.827911377,-253.667343140,-1591.238525391,130.933441162,-239.524368286,-1590.053588867,150.182495117,-234.337677002,-1590.717163086,-130.684036255,296.014251709,-139.430694580,-131.215621948,276.262817383,-136.694305420,-113.530944824,285.357116699,-138.703231812,19.441049576,36.652286530,93.556701660,39.765762329,53.082153320,80.136772156,-18.931280136,98.344734192,94.888374329,-11.520959854,98.975234985,123.923255920,-6.114127636,97.307655334,66.996292114,-20.761386871,62.457801819,94.806930542,-15.278676987,63.439880371,122.263931274,-5.541557789,52.212799072,65.861633301,28.033319473,42.231441498,96.016548157,40.787063599,57.367431641,100.538993835,26.216184616,57.230495453,97.055641174,40.412361145,55.721981049,107.209243774,43.633522034,57.559608459,94.781051636,
