Number of frames: 3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1,0.845981956,0.513108611,0.145031348,0.531668901,-0.791057169,-0.302583367,-0.040530045,0.333088726,-0.942023993,-3.879659653,6.183864117,58.80163193,0.334579259,-0.701081038,0.711637855,-0.045353509,0.710573018,0.702530503,0.039202847,0.059760451,-0.004742609,-0.998201489,141.9817963,-242.5115204,-1590.674805,0.143752128,-0.03179365,0.998582661,0.042684495,-0.989876866,-0.037369173,0.136921108,0.138322115,-0.03789917,0.989661932,-125.1368942,285.8236694,-138.3979645,0.10872405
2,0.844739914,0.514732122,0.146510705,0.533700526,-0.789905012,-0.302016199,-0.039727893,0.333317965,-0.941977084,-3.852032185,6.188879013,58.80599213,0.335117459,-0.70105648,0.711671591,-0.045203786,0.710621536,0.702495754,0.038945824,0.059472106,-0.004819563,-0.998218298,141.9784241,-242.5101624,-1590.673462,0.144062102,-0.031755403,0.998577595,0.042830866,-0.989932775,-0.037336309,0.136525005,0.137929946,-0.038064271,0.989710271,-125.1626282,285.817749,-138.3829956,0.108440056
3,0.843201935,0.516394615,0.149489731,0.536325097,-0.788913548,-0.299951404,-0.03695881,0.333094686,-0.942168772,-3.831736565,6.162308216,58.78426743,0.333201289,-0.701108694,0.71164757,-0.044769913,0.710591137,0.702522516,0.039016414,0.059217807,-0.004458355,-0.998235106,141.9732361,-242.5102234,-1590.673584,0.144152924,-0.031633239,0.998574495,0.04299207,-0.989984095,-0.037224256,0.136182934,0.137589157,-0.038253557,0.989750385,-125.2154007,285.8619995,-138.2497711,0.108079545
4,0.841856837,0.517846823,0.152025566,0.538624287,-0.788371801,-0.297243744,-0.034074061,0.332121313,-0.942621052,-3.835117579,6.169841766,58.80284119,0.334425867,-0.701053441,0.711693704,-0.044900481,0.710629046,0.702475727,0.039167918,0.059417065,-0.004448783,-0.998223305,141.9689484,-242.509903,-1590.670898,0.144345403,-0.031715907,0.998593569,0.042484481,-0.989953697,-0.037244465,0.136398092,0.137788579,-0.037731681,0.989742696,-125.1700668,285.8725586,-138.2652588,0.109475732
5,0.840811312,0.51921916,0.153126776,0.540348172,-0.787995458,-0.295105129,-0.032561015,0.330869496,-0.943114638,-3.865427256,6.167661667,58.81387711,0.33431837,-0.701053083,0.711678922,-0.045140013,0.710602224,0.702490628,0.039386734,0.059741151,-0.004464403,-0.998203874,141.9678955,-242.5084534,-1590.671997,0.144521922,-0.031740461,0.998598874,0.042340748,-0.989964187,-0.037246067,0.136321723,0.137707755,-0.037588909,0.989759386,-125.1305237,285.8652649,-138.3110657,0.109264798
6,0.840506017,0.520361066,0.150910452,0.540709496,-0.787935734,-0.294602215,-0.034391776,0.329213649,-0.943628967,-3.83644104,6.15047121,58.7835083,0.330866575,-0.701100826,0.711663187,-0.044644367,0.710597396,0.702507854,0.039166339,0.059236262,-0.00426462,-0.998234868,141.968689,-242.5090637,-1590.67041,0.144385338,-0.031643741,0.998570561,0.043075401,-0.99000591,-0.037239846,0.136020124,0.137429819,-0.038340718,0.98976922,-125.2103195,285.8890686,-138.191391,0.107444912
7,0.840393245,0.520957589,0.149473965,0.540826857,-0.788125873,-0.293877482,-0.035293415,0.327812165,-0.944083452,-3.852077961,6.159297943,58.78635407,0.333815545,-0.701089621,0.711656451,-0.044927809,0.710584342,0.702514052,0.039293632,0.059525982,-0.004376641,-0.998217165,141.9720306,-242.5093536,-1590.670654,0.143594727,-0.031648148,0.998583853,0.042762779,-0.989992201,-0.037205376,0.136129364,0.1375276,-0.038026575,0.98976773,-125.1706619,285.8737793,-138.2623596,0.108506605
8,0.840034664,0.521779776,0.14861919,0.541356087,-0.788117588,-0.292923719,-0.035712276,0.326521993,-0.944514692,-3.862404823,6.150819778,58.79774094,0.333500445,-0.701071084,0.711678088,-0.044873275,0.710593045,0.702493191,0.039506819,0.059639309,-0.00418955,-0.998211145,141.9762421,-242.5084534,-1590.668945,0.143921867,-0.031674448,0.998589993,0.042600166,-0.990042508,-0.037195135,0.135765687,0.137158781,-0.037875675,0.989824712,-125.1518555,285.902771,-138.2209625,0.109160483
9,0.840059757,0.522592366,0.145591334,0.541100323,-0.787939191,-0.293874562,-0.038859498,0.325651705,-0.944690943,-3.855551004,6.155633926,58.80783844,0.33438009,-0.701106131,0.711647332,-0.044813339,0.710570574,0.702524006,0.039363515,0.059495389,-0.004245039,-0.99821955,141.9791107,-242.5090485,-1590.669556,0.144129515,-0.031692147,0.998576283,0.042906687,-0.990045488,-0.03725335,0.135728151,0.13713333,-0.038178053,0.989816606,-125.18396,285.8900757,-138.2189331,0.110467568
10,0.840161264,0.523413718,0.142010868,0.540657818,-0.78774929,-0.295195222,-0.042640276,0.324790865,-0.944824159,-3.879550695,6.164643288,58.83907318,0.335587353,-0.701062739,0.711676657,-0.045026887,0.710598826,0.702493548,0.039396886,0.05966894,-0.004376366,-0.998208642,141.9812775,-242.5097504,-1590.6698,0.143820748,-0.031704769,0.998592854,0.042508993,-0.990011692,-0.037220977,0.135983318,0.137374207,-0.03777308,0.989798725,-125.1435089,285.8780212,-138.2760773,0.110118099
