Number of frames: 4538
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,33.463565826,-33.922809601,71.237945557,22.496931076,-47.786800385,60.754295349,40.168228149,-52.662242889,69.043479919,137.836944580,-210.605804443,-1476.151855469,125.441673279,-195.192581177,-1478.469726563,145.093750000,-191.952713013,-1476.954345703,,,,,,,,,,156.563980103,-217.713134766,-1532.849975586,156.501541138,-205.357437134,-1556.742797852,218.779205322,-192.912384033,-1527.923706055,198.762878418,-168.901611328,-1498.724853516,174.147888184,-142.845199585,-1505.645263672,165.372512817,-141.549133301,-1512.026123047,170.356201172,-168.530090332,-1497.665893555,188.979751587,-204.259689331,-1509.854248047,153.921188354,-206.821594238,-1535.583862305,154.875061035,-187.182220459,-1538.166381836,165.808273315,-197.279327393,-1536.716186523,153.751800537,-187.331054688,-1541.457397461,153.727508545,-185.799819946,-1532.437744141,
2,33.460823059,-33.869312286,71.262619019,22.506242752,-47.736724854,60.784389496,40.171878815,-52.605922699,69.081855774,137.835205078,-210.606353760,-1476.150268555,125.439956665,-195.191299438,-1478.465942383,145.092086792,-191.955078125,-1476.961547852,,,,,,,,,,156.531234741,-217.730926514,-1532.856201172,156.457977295,-205.381546021,-1556.752319336,218.752075195,-192.936584473,-1527.968750000,198.753799438,-168.915603638,-1498.765869141,174.138473511,-142.857986450,-1505.680419922,165.359954834,-141.562515259,-1512.057006836,170.347717285,-168.540298462,-1497.692382813,188.960556030,-204.275405884,-1509.880859375,153.888381958,-206.839782715,-1535.591674805,154.843338013,-187.201202393,-1538.179931641,165.776046753,-197.299285889,-1536.732666016,153.718368530,-187.350769043,-1541.470214844,153.698928833,-185.817153931,-1532.451049805,
3,33.486186981,-33.848510742,71.284774780,22.537246704,-47.720611572,60.799819946,40.199680328,-52.584384918,69.105255127,137.835083008,-210.606536865,-1476.149169922,125.440444946,-195.193527222,-1478.470581055,145.093444824,-191.954254150,-1476.965698242,,,,,,,,,,156.536865234,-217.748474121,-1532.851318359,156.465103149,-205.406692505,-1556.751342773,218.756484985,-192.950485229,-1527.966674805,198.755065918,-168.920898438,-1498.773071289,174.139419556,-142.866302490,-1505.697875977,165.361373901,-141.573150635,-1512.075683594,170.348892212,-168.546203613,-1497.701904297,188.963897705,-204.284561157,-1509.877563477,153.893859863,-206.858276367,-1535.590454102,154.848373413,-187.220504761,-1538.184814453,165.781311035,-197.317749023,-1536.733398438,153.723663330,-187.371154785,-1541.475097656,153.703460693,-185.834671021,-1532.456420898,
4,33.470603943,-33.854362488,71.337837219,22.532892227,-47.727161407,60.840377808,40.187782288,-52.590003967,69.158355713,137.834930420,-210.607376099,-1476.147705078,125.439727783,-195.192886353,-1478.466674805,145.093078613,-191.953170776,-1476.961303711,,,,,,,,,,156.536666870,-217.738601685,-1532.851074219,156.464584351,-205.392898560,-1556.749023438,218.755798340,-192.940155029,-1527.962646484,198.753982544,-168.915771484,-1498.765014648,174.137771606,-142.860534668,-1505.685424805,165.359680176,-141.566513062,-1512.062988281,170.347793579,-168.541824341,-1497.693725586,188.963500977,-204.277816772,-1509.875244141,153.893447876,-206.848007202,-1535.588500977,154.847549438,-187.209793091,-1538.179565430,165.780685425,-197.307052612,-1536.729858398,153.722839355,-187.359924316,-1541.469970703,153.702621460,-185.824920654,-1532.451049805,
5,33.478889465,-33.880931854,71.376785278,22.544967651,-47.754531860,60.875709534,40.195831299,-52.620033264,69.202682495,137.835983276,-210.607849121,-1476.145629883,125.441581726,-195.191238403,-1478.469726563,145.093322754,-191.953857422,-1476.955810547,,,,,,,,,,156.560913086,-217.737823486,-1532.841308594,156.499557495,-205.391494751,-1556.739013672,218.778869629,-192.941833496,-1527.925537109,198.765426636,-168.917434692,-1498.735839844,174.153167725,-142.861099243,-1505.666259766,165.377868652,-141.566589355,-1512.047485352,170.358795166,-168.542449951,-1497.676757813,188.978378296,-204.278823853,-1509.851196289,153.919281006,-206.847061157,-1535.579589844,154.875228882,-187.208801270,-1538.169799805,165.807373047,-197.306518555,-1536.715698242,153.751922607,-187.358810425,-1541.460571289,153.727890015,-185.824035645,-1532.441650391,
6,33.470352173,-33.892799377,71.424430847,22.545869827,-47.764846802,60.905445099,40.189525604,-52.629245758,69.254646301,137.837463379,-210.608352661,-1476.151245117,125.442352295,-195.192687988,-1478.472534180,145.093597412,-191.953994751,-1476.955932617,,,,,,,,,,156.568527222,-217.722732544,-1532.846923828,156.508499146,-205.370346069,-1556.741455078,218.784072876,-192.923126221,-1527.918823242,198.765945435,-168.907730103,-1498.724975586,174.152328491,-142.851562500,-1505.651000977,165.377532959,-141.556106567,-1512.032836914,170.359191895,-168.535247803,-1497.668457031,188.982742310,-204.267059326,-1509.850219727,153.926300049,-206.831481934,-1535.582519531,154.880966187,-187.192504883,-1538.167724609,165.813751221,-197.289718628,-1536.715087891,153.757980347,-187.341751099,-1541.458740234,153.732971191,-185.809280396,-1532.439331055,
7,33.455390930,-33.857688904,71.487594604,22.543931961,-47.737071991,60.959880829,40.182601929,-52.596271515,69.321250916,137.836715698,-210.606597900,-1476.152832031,125.441795349,-195.191940308,-1478.469848633,145.095352173,-191.953048706,-1476.960693359,,,,,,,,,,156.546768188,-217.724624634,-1532.855102539,156.478439331,-205.373031616,-1556.750122070,218.765518188,-192.928268433,-1527.951293945,198.759689331,-168.910766602,-1498.750732422,174.144897461,-142.853485107,-1505.668457031,165.367782593,-141.557769775,-1512.046997070,170.353347778,-168.536682129,-1497.683593750,188.970352173,-204.269943237,-1509.871215820,153.904098511,-206.833312988,-1535.590209961,154.858886719,-187.194473267,-1538.176391602,165.791656494,-197.292251587,-1536.727539063,153.734664917,-187.343780518,-1541.466918945,153.713119507,-185.810989380,-1532.447631836,
8,33.479488373,-33.857608795,71.482467651,22.575542450,-47.739589691,60.950782776,40.214260101,-52.595451355,69.313591003,137.840637207,-210.607467651,-1476.152221680,125.446220398,-195.193054199,-1478.473022461,145.095779419,-191.953506470,-1476.958740234,,,,,,,,,,156.566619873,-217.725143433,-1532.849243164,156.503845215,-205.374176025,-1556.744506836,218.781921387,-192.923400879,-1527.928833008,198.765991211,-168.906845093,-1498.734497070,174.150909424,-142.851821899,-1505.659667969,165.375442505,-141.557006836,-1512.040649414,170.359329224,-168.535125732,-1497.675170898,188.982727051,-204.267120361,-1509.856689453,153.923797607,-206.834136963,-1535.585327148,154.877624512,-187.195281982,-1538.171752930,165.810867310,-197.292098999,-1536.719604492,153.754333496,-187.344757080,-1541.462646484,153.730163574,-185.811752319,-1532.443359375,
9,33.500171661,-33.835338593,71.462852478,22.597410202,-47.717895508,60.936191559,40.237754822,-52.566806793,69.299942017,137.841156006,-210.608612061,-1476.150024414,125.448112488,-195.191345215,-1478.472900391,145.097335815,-191.953399658,-1476.959594727,,,,,,,,,,156.565017700,-217.734710693,-1532.846679688,156.502777100,-205.387161255,-1556.743652344,218.782638550,-192.937820435,-1527.931152344,198.769531250,-168.915298462,-1498.739746094,174.156616211,-142.859069824,-1505.668090820,165.381118774,-141.564392090,-1512.049072266,170.362930298,-168.540893555,-1497.679931641,188.982849121,-204.276290894,-1509.856689453,153.923095703,-206.843856812,-1535.584228516,154.878616333,-187.205459595,-1538.173461914,165.810989380,-197.303039551,-1536.720092773,153.755233765,-187.355316162,-1541.464233398,153.731414795,-185.820999146,-1532.445190430,
10,33.509105682,-33.787658691,71.453132629,22.611461639,-47.675449371,60.930229187,40.254608154,-52.516304016,69.284637451,137.842910767,-210.608947754,-1476.149658203,125.449111938,-195.191497803,-1478.469848633,145.099853516,-191.953536987,-1476.964477539,,,,,,,,,,156.544860840,-217.742843628,-1532.852539063,156.473785400,-205.398468018,-1556.751220703,218.765045166,-192.947021484,-1527.964233398,198.763824463,-168.920074463,-1498.768310547,174.148971558,-142.864089966,-1505.690673828,165.371047974,-141.570007324,-1512.068481445,170.357650757,-168.544754028,-1497.697631836,188.971908569,-204.282287598,-1509.876831055,153.902191162,-206.852279663,-1535.590454102,154.857254028,-187.214248657,-1538.182739258,165.789901733,-197.311935425,-1536.732299805,153.732589722,-187.364501953,-1541.473144531,153.712280273,-185.829010010,-1532.454223633,
