Number of frames: 3950
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumTracker_GT x,iHumTracker_GT y,iHumTracker_GT z,iHumTracker_LT x,iHumTracker_LT y,iHumTracker_LT z,iHumTracker_P1 x,iHumTracker_P1 y,iHumTracker_P1 z,iHumTracker_P2 x,iHumTracker_P2 y,iHumTracker_P2 z,iHumTracker_P3 x,iHumTracker_P3 y,iHumTracker_P3 z,iHumTracker_P4 x,iHumTracker_P4 y,iHumTracker_P4 z,iHumTracker_P5 x,iHumTracker_P5 y,iHumTracker_P5 z,iHumTracker_P6 x,iHumTracker_P6 y,iHumTracker_P6 z,iHumTracker_SL x,iHumTracker_SL y,iHumTracker_SL z,iHumTracker_SH x,iHumTracker_SH y,iHumTracker_SH z,iHumTracker_SB x,iHumTracker_SB y,iHumTracker_SB z,iHumTracker_Surf1 x,iHumTracker_Surf1 y,iHumTracker_Surf1 z,iHumTracker_Surf2 x,iHumTracker_Surf2 y,iHumTracker_Surf2 z
1,44.582145691,-31.098815918,68.387313843,32.351089478,-45.169265747,76.637641907,52.462272644,-47.283824921,76.802192688,136.442550659,-104.407722473,-1460.613647461,122.181266785,-90.554138184,-1461.510986328,141.349319458,-84.982040405,-1460.714721680,,,,,,,,,,146.893402100,-100.555641174,-1526.042480469,143.731903076,-75.154624939,-1505.714721680,213.523391724,-74.679855347,-1517.237670898,198.476943970,-60.412940979,-1487.110107422,159.944839478,-27.217962265,-1489.997436523,154.956756592,-32.295036316,-1490.811035156,165.443008423,-53.123954773,-1481.087158203,196.713699341,-86.200332642,-1505.217895508,144.806243896,-79.221244812,-1525.168579102,146.112579346,-59.629653931,-1530.217285156,156.737670898,-69.386039734,-1526.685791016,145.069229126,-59.819076538,-1534.953979492,144.309875488,-56.977611542,-1526.779785156,
2,44.587062836,-31.107721329,68.422431946,32.352172852,-45.167129517,76.683815002,52.461650848,-47.287284851,76.849113464,136.443145752,-104.408332825,-1460.611328125,122.182777405,-90.553024292,-1461.514038086,141.349014282,-84.981887817,-1460.716918945,,,,,,,,,,146.901916504,-100.572654724,-1526.039916992,143.738525391,-75.166282654,-1505.719116211,213.531448364,-74.696258545,-1517.233520508,198.481628418,-60.421150208,-1487.111572266,159.950714111,-27.225950241,-1490.012207031,154.962615967,-32.303108215,-1490.825195313,165.447128296,-53.129768372,-1481.094604492,196.719970703,-86.213195801,-1505.212890625,144.815170288,-79.237976074,-1525.171752930,146.122634888,-59.647731781,-1530.225341797,156.747039795,-69.403472900,-1526.690185547,145.079864502,-59.838359833,-1534.962280273,144.319564819,-56.994750977,-1526.788818359,
3,44.567485809,-31.137191772,68.452392578,32.322338104,-45.185451508,76.723754883,52.431587219,-47.312503815,76.893188477,136.444808960,-104.406768799,-1460.614013672,122.183441162,-90.552467346,-1461.514892578,141.349792480,-84.981742859,-1460.716308594,,,,,,,,,,146.904968262,-100.560966492,-1526.041625977,143.740280151,-75.157981873,-1505.716918945,213.533508301,-74.684066772,-1517.229248047,198.482437134,-60.414272308,-1487.105346680,159.950637817,-27.219720840,-1490.001708984,154.962707520,-32.296894073,-1490.815673828,165.447555542,-53.124820709,-1481.088134766,196.722030640,-86.203437805,-1505.210937500,144.817581177,-79.226493835,-1525.170166016,146.124618530,-59.635391235,-1530.220581055,156.749206543,-69.391395569,-1526.686645508,145.081985474,-59.825279236,-1534.957519531,144.321380615,-56.983016968,-1526.783569336,
4,44.531574249,-31.179555893,68.481407166,32.276058197,-45.223526001,76.745323181,52.385356903,-47.357490540,76.921234131,136.447479248,-104.406471252,-1460.624145508,122.183700562,-90.552139282,-1461.518798828,141.349700928,-84.981872559,-1460.717407227,,,,,,,,,,146.907104492,-100.529502869,-1526.049926758,143.740295410,-75.136215210,-1505.713378906,213.533599854,-74.651649475,-1517.224853516,198.481155396,-60.397003174,-1487.094360352,159.946853638,-27.204032898,-1489.975708008,154.959320068,-32.281204224,-1490.792114258,165.445648193,-53.112857819,-1481.074096680,196.722885132,-86.177879333,-1505.212036133,144.818099976,-79.195594788,-1525.168457031,146.123703003,-59.602050781,-1530.209716797,156.748992920,-69.358886719,-1526.680175781,145.081115723,-59.789813995,-1534.946777344,144.320220947,-56.951412201,-1526.771606445,
5,44.531009674,-31.185930252,68.495414734,32.274398804,-45.225769043,76.755294800,52.383068085,-47.364231110,76.935630798,136.450576782,-104.407089233,-1460.618896484,122.186653137,-90.552947998,-1461.516113281,141.351516724,-84.981430054,-1460.714477539,,,,,,,,,,146.913558960,-100.537681580,-1526.044555664,143.744354248,-75.141883850,-1505.711547852,213.538238525,-74.655220032,-1517.219360352,198.483459473,-60.397396088,-1487.091674805,159.947601318,-27.206800461,-1489.979370117,154.960357666,-32.284336090,-1490.795288086,165.447265625,-53.114170074,-1481.074096680,196.727478027,-86.180747986,-1505.205932617,144.823394775,-79.203765869,-1525.166015625,146.128250122,-59.610816956,-1530.209838867,156.753860474,-69.366638184,-1526.678466797,145.085937500,-59.799259186,-1534.946899414,144.324447632,-56.959819794,-1526.772094727,
6,44.543704987,-31.199579239,68.487991333,32.286907196,-45.235919952,76.750610352,52.394710541,-47.379585266,76.920150757,136.450775146,-104.405311584,-1460.614746094,122.188926697,-90.551750183,-1461.517944336,141.352691650,-84.979728699,-1460.712768555,,,,,,,,,,146.930389404,-100.548675537,-1526.038574219,143.756820679,-75.148979187,-1505.711059570,213.553512573,-74.666046143,-1517.202026367,198.491744995,-60.402214050,-1487.080688477,159.957336426,-27.211296082,-1489.984008789,154.970184326,-32.288875580,-1490.800170898,165.454254150,-53.117115021,-1481.072509766,196.739578247,-86.188934326,-1505.190551758,144.840484619,-79.214546204,-1525.164550781,146.147003174,-59.622577667,-1530.211669922,156.771545410,-69.377975464,-1526.675903320,145.105834961,-59.811885834,-1534.948974609,144.342437744,-56.970893860,-1526.775024414,
7,44.550109863,-31.214208603,68.457954407,32.290981293,-45.244480133,76.736412048,52.400199890,-47.393173218,76.898170471,136.451614380,-104.404159546,-1460.615478516,122.191322327,-90.551048279,-1461.523193359,141.355895996,-84.979309082,-1460.716186523,,,,,,,,,,146.941604614,-100.560409546,-1526.038452148,143.766723633,-75.156883240,-1505.715942383,213.565124512,-74.680557251,-1517.196777344,198.499877930,-60.410373688,-1487.080200195,159.968063354,-27.217460632,-1489.994995117,154.980697632,-32.294857025,-1490.811035156,165.461990356,-53.122047424,-1481.078125000,196.748687744,-86.200210571,-1505.185668945,144.852981567,-79.225990295,-1525.168579102,146.161529541,-59.635005951,-1530.218994141,156.784896851,-69.390464783,-1526.679931641,145.121032715,-59.825092316,-1534.956420898,144.356628418,-56.982593536,-1526.782958984,
8,44.531188965,-31.216331482,68.468521118,32.272529602,-45.245742798,76.743202209,52.379535675,-47.395549774,76.905769348,136.454360962,-104.403999329,-1460.617309570,122.192642212,-90.551963806,-1461.520629883,141.356781006,-84.978324890,-1460.716430664,,,,,,,,,,146.932022095,-100.550666809,-1526.041748047,143.758407593,-75.150054932,-1505.715454102,213.554656982,-74.665496826,-1517.208984375,198.493545532,-60.400630951,-1487.087768555,159.957977295,-27.211074829,-1489.991333008,154.970962524,-32.288852692,-1490.807128906,165.456039429,-53.116275787,-1481.078735352,196.741531372,-86.188316345,-1505.196289063,144.841476440,-79.216560364,-1525.168701172,146.147201538,-59.624801636,-1530.216918945,156.772171021,-69.379684448,-1526.681030273,145.105865479,-59.814380646,-1534.954223633,144.342666626,-56.972999573,-1526.780273438,
9,44.488349915,-31.210763931,68.501640320,32.221817017,-45.232318878,76.785781860,52.330257416,-47.388072968,76.954727173,136.454055786,-104.405570984,-1460.622070313,122.195167542,-90.550804138,-1461.515136719,141.357559204,-84.977256775,-1460.720581055,,,,,,,,,,146.897003174,-100.540145874,-1526.051513672,143.736175537,-75.142822266,-1505.719116211,213.526168823,-74.660903931,-1517.250732422,198.482452393,-60.400226593,-1487.118774414,159.947509766,-27.207622528,-1489.995605469,154.959716797,-32.284927368,-1490.809570313,165.448730469,-53.114719391,-1481.090454102,196.718841553,-86.184677124,-1505.230712891,144.808364868,-79.206054688,-1525.173706055,146.112625122,-59.613510132,-1530.219238281,156.738876343,-69.369705200,-1526.690795898,145.068679810,-59.802204132,-1534.955932617,144.310150146,-56.962181091,-1526.781127930,
10,44.498771667,-31.229713440,68.475151062,32.234382629,-45.247360229,76.773033142,52.340202332,-47.410667419,76.930252075,136.454376221,-104.406364441,-1460.618774414,122.196640015,-90.550338745,-1461.517456055,141.357498169,-84.978622437,-1460.718994141,,,,,,,,,,146.913497925,-100.550994873,-1526.046142578,143.748809814,-75.150512695,-1505.718261719,213.541702271,-74.673667908,-1517.232543945,198.491134644,-60.407806396,-1487.106567383,159.958511353,-27.213771820,-1489.997924805,154.970672607,-32.290958405,-1490.812255859,165.456253052,-53.119815826,-1481.087524414,196.730819702,-86.194847107,-1505.215087891,144.825653076,-79.216674805,-1525.171997070,146.132125854,-59.624946594,-1530.220214844,156.757034302,-69.381134033,-1526.687622070,145.089355469,-59.814289093,-1534.957031250,144.328918457,-56.973022461,-1526.782836914,
