Number of frames: 3950
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumTracker R00,HumTracker R01,HumTracker R02,HumTracker R10,HumTracker R11,HumTracker R12,HumTracker R20,HumTracker R21,HumTracker R22,HumTracker x,HumTracker y,HumTracker z,HumTracker Error,StemTracker R00,StemTracker R01,StemTracker R02,StemTracker R10,StemTracker R11,StemTracker R12,StemTracker R20,StemTracker R21,StemTracker R22,StemTracker x,StemTracker y,StemTracker z,StemTracker Error
1, 0.527170241, 0.849577963, 0.017572349, 0.783491135,-0.477948874,-0.397122741,-0.328988045, 0.223119080,-0.917597294,-11.493204117, 2.229429960,62.881317139, 0.353140384,-0.716817737, 0.695714414, 0.046408862, 0.695800900, 0.718035400,-0.016919345,-0.045094240, 0.020163242,-0.998779178,133.324371338,-93.314590454,-1460.946533203, 0.130614996,,,,,,,,,,,,,,
2, 0.527402699, 0.849436820, 0.017417451, 0.783068180,-0.478037566,-0.397849530,-0.329621881, 0.223465979,-0.917285264,-11.478285789, 2.234299183,62.891700745, 0.353707105,-0.716794550, 0.695730031, 0.046532352, 0.695807219, 0.718023121,-0.017179715,-0.045363747, 0.020063221,-0.998768985,133.324981689,-93.314369202,-1460.947509766, 0.130680233,,,,,,,,,,,,,,
3, 0.527814567, 0.849181354, 0.017400272, 0.782561779,-0.478239059,-0.398603022,-0.330164790, 0.224005267,-0.916958451,-11.483205795, 2.225571871,62.884685516, 0.354545891,-0.716813445, 0.695708632, 0.046560578, 0.695793748, 0.718039989,-0.017016646,-0.045270987, 0.020198800,-0.998770535,133.326019287,-93.313613892,-1460.948486328, 0.130929932,,,,,,,,,,,,,,
4, 0.528253734, 0.848904490, 0.017584763, 0.782407343,-0.478620321,-0.398448706,-0.329828471, 0.224240467,-0.917022049,-11.504322052, 2.207707644,62.898159027, 0.355621696,-0.716865897, 0.695653975, 0.046571761, 0.695760310, 0.718083382,-0.016548663,-0.044954550, 0.020539612,-0.998777926,133.326965332,-93.313453674,-1460.953491211, 0.130803704,,,,,,,,,,,,,,
5, 0.528413951, 0.848802507, 0.017689493, 0.782345355,-0.478738159,-0.398428768,-0.329718739, 0.224374607,-0.917028666,-11.498150826, 2.210072756,62.902568817, 0.355587631,-0.716899514, 0.695615649, 0.046625558, 0.695717275, 0.718122065,-0.016677514,-0.045083985, 0.020482104,-0.998773217,133.329589844,-93.313781738,-1460.949829102, 0.130799219,,,,,,,,,,,,,,
6, 0.528476715, 0.848775208, 0.017115429, 0.782252729,-0.479026556,-0.398263991,-0.329837888, 0.223861843,-0.917111158,-11.478790283, 2.214951515,62.928638458, 0.356571287,-0.716872871, 0.695626855, 0.046867382, 0.695724905, 0.718110323,-0.016866546,-0.045388769, 0.020515634,-0.998758733,133.330795288,-93.312217712,-1460.948486328, 0.131304130,,,,,,,,,,,,,,
7, 0.528552473, 0.848738253, 0.016603636, 0.781893730,-0.479122341,-0.398853362,-0.330566943, 0.223797217,-0.916864395,-11.466098785, 2.210929155,62.902641296, 0.355903119,-0.716820717, 0.695670784, 0.047012806, 0.695763588, 0.718068480,-0.017047636,-0.045617957, 0.020489702,-0.998748839,133.332946777,-93.311462402,-1460.951660156, 0.131485879,,,,,,,,,,,,,,
8, 0.528607607, 0.848703384, 0.016629374, 0.781920075,-0.479199946,-0.398708433,-0.330416411, 0.223763153,-0.916926920,-11.482733727, 2.213475943,62.915210724, 0.356400430,-0.716896474, 0.695604980, 0.046831194, 0.695700049, 0.718133271,-0.016914956,-0.045397162, 0.020454191,-0.998759627,133.334594727,-93.311386108,-1460.951538086, 0.131421775,,,,,,,,,,,,,,
9, 0.528923929, 0.848504424, 0.016727231, 0.781499922,-0.479281604,-0.399433494,-0.330904007, 0.224342257,-0.916609585,-11.514493942, 2.230116129,62.909507751, 0.355551273,-0.716875017, 0.695663631, 0.046284780, 0.695755243, 0.718083680,-0.016746180,-0.044886053, 0.020197958,-0.998787880,133.335601807,-93.311164856,-1460.952636719, 0.131516889,,,,,,,,,,,,,,
10, 0.528976798, 0.848485410, 0.016002271, 0.781216621,-0.479500234,-0.399725109,-0.331487834, 0.223946571,-0.916495383,-11.495881081, 2.226304770,62.909763336, 0.353867173,-0.716830254, 0.695693135, 0.046533648, 0.695783138, 0.718053102,-0.016896272,-0.045168255, 0.020265568,-0.998773813,133.336166382,-93.311729431,-1460.951782227, 0.131863564,,,,,,,,,,,,,,
